DEPTH,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,Cluster,Vshale,Porosity
948.995,8.813,45.883,20.931,57.365,68.666,15.169,2.731,1.993,3.922,,-0.568,1.892,2,0.21239934141595568,0.4593939393939394
949.071,8.812,50.133,20.929,57.299,70.571,15.2,1.512,1.992,1.978,,-0.548,1.878,2,0.22380481963777876,0.4678787878787879
949.147,8.812,54.446,20.928,57.253,73.249,15.243,0.694,1.992,0.786,,-0.554,1.858,2,0.23983834755276154,0.4799999999999999
949.223,8.812,56.921,20.926,57.248,74.783,15.245,0.275,1.992,0.253,,-0.586,1.843,2,0.24902260140697502,0.4890909090909091
949.3,8.813,55.63,20.924,57.291,72.94,15.281,0.134,1.992,0.118,,-0.591,1.837,2,0.23798832510103277,0.49272727272727274
949.376,8.814,52.916,20.923,57.351,67.961,15.291,0.112,1.992,0.107,,-0.573,1.847,2,0.20817841640472984,0.48666666666666664
949.452,8.814,51.526,20.921,57.386,63.629,15.32,0.112,1.993,0.107,,-0.527,1.875,2,0.18224217931447387,0.46969696969696967
949.528,8.813,51.27,20.919,57.378,61.96,15.259,0.112,1.993,0.107,,-0.582,1.866,2,0.17224966322406826,0.47515151515151505
949.604,8.811,52.77,20.918,57.363,61.371,15.187,0.112,1.992,0.107,,-0.785,1.845,2,0.16872324502320013,0.48787878787878786
949.681,8.808,54.829,20.916,57.402,59.83,15.117,0.112,1.992,0.107,,-0.7,1.858,2,0.1594970812752582,0.4799999999999999
949.757,8.806,54.266,20.914,57.502,56.814,15.239,0.112,1.992,0.107,,-0.612,1.899,2,0.1414399042059572,0.4551515151515151
949.833,8.806,51.039,20.913,57.614,54.331,15.322,0.112,1.992,0.107,,-0.487,1.937,2,0.12657386618769648,0.4321212121212121
949.909,8.808,48.325,20.911,57.71,53.508,15.412,0.112,1.992,0.107,,-0.588,1.917,2,0.12164646011076188,0.4442424242424242
949.985,8.811,47.807,20.91,57.79,54.864,15.385,0.112,1.992,0.107,,-0.779,1.849,2,0.1297650052387367,0.4854545454545454
950.062,8.814,49.161,20.908,57.852,58.097,15.352,0.112,1.992,0.107,,-0.855,1.802,2,0.14912138901362074,0.5
950.138,8.816,50.823,20.906,57.899,61.338,15.292,0.112,1.992,0.107,,-0.787,1.764,2,0.1685256698099087,0.5
950.214,8.817,51.323,20.905,57.912,63.267,15.27,0.112,1.992,0.107,,-0.621,1.805,2,0.18007483909594374,0.5
950.29,8.816,51.635,20.903,57.87,63.125,15.292,0.112,1.992,0.107,,-0.586,1.816,2,0.17922466696602307,0.5
950.366,8.815,52.911,20.901,57.786,61.635,15.301,0.112,1.992,0.107,,-0.605,1.81,2,0.1703038467295315,0.5
950.443,8.814,53.556,20.9,57.688,60.386,15.323,0.112,1.992,0.107,,-0.572,1.811,2,0.16282592426283493,0.5
950.519,8.813,53.554,20.898,57.601,59.694,15.315,0.112,1.992,0.107,90.878,-0.617,1.821,2,0.15868283191139054,0.5
950.595,8.812,53.912,20.896,57.55,59.542,15.33,0.112,1.992,0.107,90.288,-0.615,1.849,2,0.15777278850471488,0.4854545454545454
950.671,8.811,53.401,20.895,57.541,59.701,15.277,0.112,1.992,0.107,89.669,-0.611,1.857,2,0.158724741805119,0.4806060606060606
950.747,8.811,52.298,20.893,57.552,59.503,15.278,0.112,1.992,0.107,89.018,-0.601,1.871,2,0.15753929052537047,0.4721212121212121
950.824,8.811,51.288,20.891,57.56,58.37,15.295,0.112,1.992,0.107,88.334,-0.545,1.866,2,0.15075587486903158,0.47515151515151505
950.9,8.814,51.437,20.89,57.562,56.867,15.31,0.112,1.992,0.107,87.616,-0.591,1.854,2,0.14175722197275856,0.48242424242424237
950.976,8.817,52.871,20.888,57.563,56.478,15.357,0.112,1.992,0.107,86.87,-0.613,1.841,2,0.13942822930698998,0.4903030303030303
951.052,8.819,53.494,20.886,57.576,56.922,15.346,0.112,1.992,0.107,86.105,-0.628,1.842,2,0.14208651399491093,0.48969696969696963
951.128,8.819,51.334,20.885,57.589,57.319,15.31,0.112,1.992,0.107,85.33,-0.607,1.85,2,0.14446340368208355,0.48484848484848475
951.205,8.818,50.001,20.883,57.581,56.501,15.287,0.112,1.993,0.107,84.553,-0.567,1.866,2,0.13956593324352642,0.47515151515151505
951.281,8.815,51.997,20.881,57.547,54.979,15.269,0.112,1.993,0.107,83.783,-0.598,1.875,2,0.13045352492141896,0.46969696969696967
951.357,8.812,55.218,20.88,57.498,54.211,15.24,0.112,1.993,0.107,83.024,-0.574,1.883,2,0.12585541086663674,0.4648484848484848
951.433,8.811,57.283,20.878,57.452,54.259,15.197,0.112,1.992,0.107,82.279,-0.558,1.885,2,0.12614279299506062,0.4636363636363636
951.509,8.811,56.593,20.876,57.408,54.764,15.14,0.112,1.992,0.107,81.549,-0.561,1.887,2,0.12916629247118697,0.4624242424242424
951.586,8.811,55.054,20.875,57.363,55.465,15.121,0.112,1.991,0.107,80.829,-0.593,1.889,2,0.13336326897171086,0.4612121212121212
951.662,8.812,55.843,20.873,57.311,56.42,15.111,0.112,1.991,0.107,80.108,-0.576,1.893,2,0.13908097590181112,0.45878787878787874
951.738,8.813,60.709,20.871,57.24,57.086,15.145,0.112,1.991,0.107,79.373,-0.532,1.914,2,0.14306840293369255,0.4460606060606061
951.814,8.814,65.834,20.87,57.145,56.544,15.19,0.112,1.991,0.107,78.611,-0.471,1.939,2,0.1398233797335728,0.43090909090909085
951.89,8.814,65.728,20.868,57.05,54.595,15.271,0.112,1.991,0.107,77.812,-0.52,1.961,2,0.12815446789402785,0.4175757575757575
951.967,8.814,60.654,20.866,56.999,52.471,15.297,0.112,1.991,0.107,76.975,-0.512,1.977,2,0.11543780871127075,0.4078787878787878
952.043,8.814,53.835,20.865,57.026,51.59,15.288,0.112,1.991,0.107,76.103,-0.547,1.975,2,0.11016314922915735,0.409090909090909
952.119,8.814,49.249,20.863,57.138,51.726,15.291,0.112,1.991,0.107,75.205,-0.531,1.981,2,0.110977398593025,0.40545454545454535
952.195,8.815,48.593,20.862,57.318,51.5,15.296,0.112,1.991,0.107,74.284,-0.587,1.978,2,0.10962430773836253,0.40727272727272723
952.271,8.817,50.477,20.86,57.535,50.601,15.326,0.112,1.99,0.107,73.347,-0.501,1.969,2,0.10424187995809012,0.41272727272727266
952.348,8.82,53.112,20.858,57.774,50.478,15.339,0.112,1.99,0.107,72.395,-0.556,1.94,2,0.10350546325400391,0.4303030303030303
952.424,8.824,54.911,20.857,58.036,52.401,15.349,0.112,1.99,0.107,71.432,-0.587,1.923,2,0.11501870977398596,0.44060606060606056
952.5,8.826,55.672,20.855,58.306,55.24,15.376,0.112,1.99,0.107,70.46,-0.508,1.914,2,0.13201616524472387,0.4460606060606061
952.576,8.827,55.684,20.853,58.554,56.438,15.427,0.112,1.989,0.107,69.477,-0.585,1.907,2,0.1391887441999701,0.45030303030303026
952.652,8.825,54.992,20.852,58.732,55.792,15.493,0.112,1.989,0.107,68.48,-0.51,1.889,2,0.13532105972159858,0.4612121212121212
952.729,8.821,52.855,20.85,58.808,55.675,15.512,0.112,1.988,0.107,67.466,-0.54,1.875,2,0.13462056578356532,0.46969696969696967
952.805,8.817,49.566,20.848,58.787,57.707,15.485,0.112,1.988,0.107,66.429,-0.478,1.852,2,0.14678640922017663,0.48363636363636353
952.881,8.814,48.334,20.847,58.698,60.404,15.439,0.112,1.986,0.107,65.368,-0.546,1.827,2,0.16293369256099388,0.4987878787878788
952.957,8.812,50.383,20.845,58.568,61.292,15.386,0.112,1.984,0.107,64.282,-0.583,1.805,2,0.16825026193683582,0.5
953.033,8.813,55.878,20.843,58.416,59.936,15.409,0.112,1.979,0.107,63.173,-0.626,1.792,2,0.16013171680886096,0.5
953.11,8.814,62.755,20.842,58.255,58.557,15.446,0.112,1.962,0.107,62.04,-0.606,1.787,2,0.15187546774434968,0.5
953.186,8.815,67.843,20.84,58.093,58.84,15.482,0.112,1.854,0.107,60.883,-0.662,1.779,2,0.15356982487651552,0.5
953.262,8.815,71.615,20.838,57.942,59.964,15.47,0.112,2.262,0.107,59.7,-0.645,1.776,2,0.16029935638377488,0.5
953.338,8.814,73.556,20.837,57.809,60.224,15.458,0.112,1.794,0.107,58.488,-0.618,1.773,2,0.16185600957940427,0.5
953.414,8.812,72.503,20.835,57.701,59.33,15.456,0.112,0.581,0.107,57.244,-0.691,1.775,2,0.15650351743750934,0.5
953.491,8.81,68.901,20.833,57.621,58.666,15.458,0.112,0.239,0.107,55.963,-0.668,1.776,2,0.15252806466097887,0.5
953.567,8.807,65.402,20.832,57.572,59.148,15.442,0.112,0.14,0.107,54.64,-0.623,1.771,2,0.1554138602005688,0.5
953.643,8.806,65.76,20.83,57.541,60.321,15.425,0.112,0.107,0.107,53.27,-0.647,1.769,2,0.16243676096392756,0.5
953.719,8.805,72.504,20.828,57.519,60.772,15.429,0.112,0.098,0.107,51.849,-0.615,1.762,2,0.165136955545577,0.5
953.795,8.805,83.343,20.827,57.5,60.354,15.436,0.112,0.099,0.107,50.373,-0.626,1.762,2,0.16263433617721898,0.5
953.872,8.805,87.747,20.825,57.489,60.1,15.409,0.112,0.1,0.107,48.84,-0.65,1.761,2,0.16111360574764258,0.5
953.948,8.806,83.83,20.823,57.489,59.65,15.364,0.112,0.1,0.107,47.25,-0.675,1.752,2,0.1584193982936686,0.5
954.024,8.806,78.04,20.822,57.496,58.798,15.326,0.112,0.1,0.107,45.606,-0.611,1.752,2,0.1533183655141446,0.5
954.1,8.807,73.133,20.82,57.503,58.002,15.297,0.112,0.1,0.107,43.912,-0.683,1.748,2,0.14855261188444846,0.5
954.176,8.807,69.758,20.819,57.507,58.051,15.294,0.112,0.1,0.107,42.173,-0.626,1.761,2,0.14884598114054784,0.5
954.253,8.808,66.558,20.817,57.513,58.539,15.259,0.112,0.1,0.107,40.392,-0.634,1.761,2,0.1517676994461907,0.5
954.329,8.809,63.623,20.815,57.52,58.875,15.252,0.112,0.1,0.107,38.57,-0.596,1.765,2,0.15377937434515793,0.5
954.405,8.81,61.764,20.814,57.527,59.129,15.243,0.112,0.1,0.107,36.703,-0.635,1.758,2,0.15530010477473433,0.5
954.481,8.811,61.195,20.812,57.53,59.922,15.216,0.112,0.1,0.107,34.785,-0.638,1.763,2,0.16004789702140398,0.5
954.557,8.811,61.25,20.81,57.532,61.366,15.147,0.112,0.1,0.107,32.805,-0.641,1.763,2,0.16869330938482263,0.5
954.634,8.811,60.318,20.809,57.537,61.522,15.085,0.112,0.1,0.107,30.75,-0.627,1.763,2,0.16962730130220027,0.5
954.71,8.811,56.636,20.807,57.54,60.125,15.059,0.112,0.1,0.107,28.608,-0.672,1.77,2,0.16126328393953002,0.5
954.786,8.811,53.788,20.805,57.53,58.761,15.069,0.112,0.1,0.107,26.366,-0.654,1.782,2,0.1530968417901512,0.5
954.862,8.812,56.407,20.804,57.504,59.129,15.056,0.112,0.1,0.107,24.017,-0.574,1.797,2,0.15530010477473433,0.5
954.938,8.812,63.097,20.802,57.479,60.43,15.033,0.112,0.1,0.107,21.555,-0.61,1.805,2,0.1630893578805568,0.5
955.015,8.812,67.039,20.8,57.469,61.232,14.995,0.112,0.1,0.107,18.975,-0.624,1.819,2,0.16789103427630594,0.5
955.091,8.811,63.452,20.799,57.471,60.957,15.006,0.112,0.1,0.107,16.272,-0.549,1.829,2,0.16624457416554408,0.49757575757575756
955.167,8.811,57.494,20.797,57.482,60.278,14.997,0.112,0.1,0.107,13.438,-0.591,1.82,2,0.16217931447388115,0.5
955.243,8.81,55.561,20.795,57.515,60.204,14.983,0.112,0.1,0.107,10.459,-0.599,1.819,2,0.16173626702589433,0.5
955.319,8.811,58.363,20.794,57.557,60.543,14.912,0.112,0.1,0.107,7.315,-0.553,1.804,2,0.16376590330788804,0.5
955.396,8.813,60.725,20.792,57.577,61.01,14.842,0.112,0.1,0.107,3.985,-0.573,1.794,2,0.16656189193234544,0.5
955.472,8.815,59.138,20.79,57.659,60.984,14.798,0.112,0.1,0.107,0.442,-0.573,1.78,2,0.16640622661278254,0.5
955.548,8.817,57.82,20.789,58.091,60.718,14.764,0.112,0.1,0.107,-3.343,-0.591,1.765,2,0.16481365065110015,0.5
955.624,8.82,58.411,20.787,59.205,60.286,14.737,0.112,0.1,0.107,-7.406,-0.576,1.76,2,0.16222721149528516,0.5
955.7,8.821,59.153,20.785,60.963,59.484,14.727,0.112,0.1,0.107,-11.793,-0.589,1.743,2,0.15742553509953602,0.5
955.777,8.822,59.045,20.784,62.82,58.374,14.73,0.112,0.1,0.107,-16.568,-0.562,1.734,2,0.15077982337973359,0.5
955.853,8.823,59.272,20.782,64.103,57.486,14.693,0.112,0.1,0.107,-21.811,-0.574,1.72,2,0.14546325400389162,0.5
955.929,8.823,61.981,20.78,64.556,56.703,14.678,0.112,0.1,0.107,-27.606,-0.555,1.715,2,0.14077533303397696,0.5
956.005,8.824,65.571,20.779,64.446,56.48,14.656,0.112,0.1,0.107,-33.978,-0.553,1.705,2,0.13944020356234096,0.5
956.081,8.826,66.373,20.777,64.005,57.436,14.694,0.112,0.1,0.107,-40.769,-0.56,1.697,2,0.14516389762011675,0.5
956.158,8.828,62.503,20.775,63.266,59.053,14.702,0.112,0.1,0.107,-47.508,-0.56,1.691,2,0.1548450830713965,0.5
956.234,8.83,58.122,20.774,62.505,60.703,14.72,0.112,0.1,0.107,-53.379,-0.521,1.684,2,0.16472384373596768,0.5
956.31,8.832,57.351,20.772,62.323,61.634,14.685,0.112,0.1,0.107,-57.324,-0.526,1.677,2,0.17029785960185603,0.5
